Target,Patch_Size,Features,Num_Indices,R2,RMSE,MAE,Huber,LogCosh,Time_s
NO3,32x32,Bands_13+0_Indices,0,0.3796,5.2393,2.942,2.4998,2.3787,11.8
NO3,32x32,Bands_13+1_Indices,1,0.3055,5.5433,2.9406,2.5003,2.3795,6.1
NO3,32x32,Bands_13+2_Indices,2,0.4101,5.1092,2.8975,2.4416,2.3151,12.3
NO3,32x32,Bands_13+3_Indices,3,0.4699,4.8429,2.9725,2.5194,2.391,13.7
NO3,32x32,Bands_13+4_Indices,4,0.2836,5.6301,2.812,2.3644,2.2462,11.5
NO3,32x32,Bands_13+5_Indices,5,0.3843,5.2194,3.0745,2.6214,2.4949,11.7
NO3,64x64,Bands_13+0_Indices,0,0.3968,5.1663,2.9444,2.494,2.3697,36.5
NO3,64x64,Bands_13+1_Indices,1,0.3936,5.1798,3.2786,2.811,2.6708,19.3
NO3,64x64,Bands_13+2_Indices,2,0.2933,5.592,3.0054,2.5473,2.4246,9.8
NO3,64x64,Bands_13+3_Indices,3,0.4646,4.8672,2.8806,2.4344,2.3093,25.8
NO3,64x64,Bands_13+4_Indices,4,0.4418,4.9698,2.9953,2.5434,2.4164,16.8
NO3,64x64,Bands_13+5_Indices,5,0.4654,4.8635,3.0603,2.598,2.4679,26.6
